tag,tag_cn
0 0,0 0
1boy,1个男性
1girl,1个女性
1koma,单格漫画
1other,1个非人类
2boys,2个男性
2girls,2个女性
2koma,双分镜漫画
2others,2个非人类
3:,3:
3boys,3个男性
3d,3D
3girls,3个女性
3koma,三格漫画
4boys,4个男性
4girls,4个女性
4koma,四格漫画
5boys,5个男性
5girls,5个女性
5koma,五格漫画
6+boys,6个以上的男性
6+girls,6个以上的女性
39,初音未来
69,69(体位)
1970s (style),20世纪70年代(风格)
1980s (style),20世纪80年代(风格)
1990s (style),90年代(风格)
!,!
!!,!!
!!?,!!?
!?,!?
(9),(9)
(o) (o),(o) (o)
+++,+++
+ +,+ +
...,...
. .,. .
:3,:3
:<,:<
:>,:>
:>=,:>=
:d,:d
:i,:i
:o,:o
:p,:p
:q,:q
:t,:t
:x,:x
;3,;3
;),;)
;d,;d
;o,;o
;p,;p
;q,;q
<o> <o>,<o> <o>
=3,=3
= =,= =
>:(,>:(
>:),>:)
> <,> <
> o,> o
>o<,>o<
@ @,@ @
^ ^,^ ^
^o^,^o^
abs,腹肌
absolutely everyone,大合影|全家福
abstract,抽象
abstract background,抽象背景
absurdly long hair,超长的头发
abuse,虐待
acoustic guitar,原声吉他
acrylic paint (medium),亚克力画风
adapted costume,原设服装改编
adapted uniform,改装制服
adjusting clothes,拨弄衣服
adjusting eyewear,扶眼镜
adjusting gloves,拨弄手套
adjusting hair,理头发
adjusting hat,整理帽子
adjusting headwear,整理头饰
adjusting legwear,整理裤袜
adjusting panties,拨内裤
adjusting swimsuit,拨弄泳衣
aerial fireworks,空中烟火
aestus estus,原初之火(武器)
afloat,漂浮
afro,鸟窝头|爆炸头
after anal,肛交后
after fellatio,口交后
after kiss,接吻后
after paizuri,乳交后
after sex,事后
after vaginal,事后阴道特写
afterglow,事后余韵
afterimage,残像
against glass,压在玻璃上
against wall,压在墙上
age difference,年龄差
age progression,年龄段展现
age regression,幼化
ahegao,阿嘿颜
ahoge,呆毛
aiguillette,绶带
aiming,瞄准
aiming at viewer,瞄准了读者(的视角)
ainu clothes,阿伊努人的服饰
air bubble,气泡
air conditioner,空调
aircraft,飞行器
airplane,飞机
airship,飞艇
ajirogasa,笠帽
akanbe,拉下眼睑的鬼脸
akeome,新年伊始
alarm clock,闹钟
albino,白化病
album cover,专辑封面
alcohol,酒
alien,外星人
all fours,母豹pose
alley,小巷
alolan form,阿罗拉形态(宝可梦)
alpha signature,阿尔法签名(推特用)
alphes (style),阿尔卑斯风格
alternate breast size,贫乳化|爆乳化
alternate color,异色
alternate costume,角色换装
alternate eye color,与原设不同瞳色
alternate form,与原设不同形态变化
alternate hair color,与原设不同发色变化
alternate hair length,与原设不同头发长度变化
alternate hairstyle,与原设不同发型变化
alternate headwear,与原设不同头饰变化
alternate legwear,与原设不同腿部穿着变化
alternate skin color,与原设不同肤色变化
alternate weapon,与原设不同武器变化
alternate wings,与原设不同翅膀
ambiguous gender,性别暧昧
america,美国
american flag,星条旗
american flag bikini,星条旗比基尼
ammunition,弹药
ammunition belt,弹药带
amplifier (instrument),大音响
amputee,欠损|独脚|肢体残缺|欠损少女
amulet,护身符
anal,肛门|肛交|着衣肛交|骑乘位肛交
anal beads,肛珠
anal fingering,手指刺激肛门
anal hair,肛毛
anal object insertion,肛门物体插入
anal tail,肛尾|插进肛门里的尾巴
anchor,锚
anchor choker,锚形项圈
anchor hair ornament,锚形发饰
anchor print,锚形印花
anchor symbol,锚形符号
androgynous,可男可女
android,人造人
angel,天使
angel and devil,天使与恶魔
angel wings,天使的翅膀
anger vein,青筋
anglerfish,鮟鱇
angora rabbit,安哥拉兔
angry,发怒
anilingus,舔肛门
animal,动物
animal costume,动物系装扮
animal ear fluff,耳绒毛
animal ears,兽耳
animal focus,以动物为焦点
animal hat,动物主题帽饰
animal hood,兽耳头罩
animal hug,抱着动物
animal on head,头上有动物
animal on lap,膝盖上有动物
animal on shoulder,肩上有动物
animal print,动物印花
animalization,动物化
anime coloring,动画上色
ankh,安库(假面骑士OOO)
ankle boots,踝靴
ankle lace-up,脚踝系带
ankle ribbon,踝带
ankle socks,踝袜
ankle strap,脚踝丝环
